,TSS_1::NC_011703.1:18599-18799(),mean
-100,,
-99,,
-98,,
-97,,
-96,,
-95,,
-94,,
-93,,
-92,,
-91,,
-90,,
-89,,
-88,,
-87,,
-86,,
-85,,
-84,,
-83,,
-82,,
-81,0.06608013491587753,0.06608013491587753
-80,0.07190183608272913,0.07190183608272913
-79,0.07799214912900182,0.07799214912900182
-78,0.08437862154099489,0.08437862154099489
-77,0.0915205046269593,0.0915205046269593
-76,0.09923755711069375,0.09923755711069375
-75,0.10584241987675809,0.10584241987675809
-74,0.11384340878386243,0.11384340878386243
-73,0.12212508640021083,0.12212508640021083
-72,0.13107906596000868,0.13107906596000868
-71,0.14009200663259042,0.14009200663259042
-70,0.1397533954732521,0.1397533954732521
-69,0.13789267467519167,0.13789267467519167
-68,0.1365165378114165,0.1365165378114165
-67,0.13710385184974014,0.13710385184974014
-66,0.1370647596332321,0.1370647596332321
-65,0.1387752037192153,0.1387752037192153
-64,0.1419828488539382,0.1419828488539382
-63,0.14704475490051463,0.14704475490051463
-62,0.15513568805460357,0.15513568805460357
-61,0.16569548153037955,0.16569548153037955
-60,0.1779892042628325,0.1779892042628325
-59,0.19222438522494634,0.19222438522494634
-58,0.20779729646098954,0.20779729646098954
-57,0.22320353602959306,0.22320353602959306
-56,0.2386366161173564,0.2386366161173564
-55,0.2540353678108882,0.2540353678108882
-54,0.2670546502877791,0.2670546502877791
-53,0.27804990831695753,0.27804990831695753
-52,0.28629081007563384,0.28629081007563384
-51,0.2912106350849708,0.2912106350849708
-50,0.29475831188193086,0.29475831188193086
-49,0.29719041128433077,0.29719041128433077
-48,0.29790543469058284,0.29790543469058284
-47,0.2970636948008919,0.2970636948008919
-46,0.2963693313415664,0.2963693313415664
-45,0.29359314576584744,0.29359314576584744
-44,0.2912972861928306,0.2912972861928306
-43,0.28869214422726247,0.28869214422726247
-42,0.28426106231430553,0.28426106231430553
-41,0.2782876971899111,0.2782876971899111
-40,0.2699156635353676,0.2699156635353676
-39,0.2579082992570889,0.2579082992570889
-38,0.2427971751132696,0.2427971751132696
